Measurement file name;pun213703(lying down).scco
Measurement name;Measurement;;;Measurement;;;Measurement;;;Measurement;;
Date;3/1/2022;;;3/1/2022;;;3/1/2022;;;3/1/2022;;
Time;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;
Channel name;S/N 1947158622;;;S/N 1947158622;;;S/N 1948131903;;;S/N 1948131903;;
Unit;bar;;;°C;;;L/min;;;°C;;
Channel index;Channel A1;;;Channel A2;;;Channel A3;;;Channel A4;;
Time [s] / Points;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value
00:00:01.100;122.570;129.210;125.370;28.441;28.441;28.441;23.321;23.910;23.321;30.999;30.999;30.999
00:00:01.110;109.850;122.490;115.570;28.441;28.441;28.441;23.321;23.321;23.321;30.999;30.999;30.999
00:00:01.120;117.570;125.490;123.170;28.441;28.441;28.441;23.321;23.321;23.321;30.999;30.999;30.999
00:00:01.130;117.450;123.170;121.290;28.441;28.441;28.441;23.321;23.321;23.321;30.999;30.999;30.999
00:00:01.140;122.970;128.730;124.170;28.441;28.441;28.441;23.321;23.321;23.321;30.999;30.999;30.999
00:00:01.150;110.050;121.010;116.370;28.441;28.441;28.441;22.200;23.321;22.200;30.999;30.999;30.999
00:00:01.160;118.450;121.970;119.650;28.441;28.441;28.441;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.170;116.770;122.090;123.690;28.441;28.441;28.441;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.180;125.290;131.090;126.690;28.441;28.441;28.441;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.190;111.490;123.370;118.250;28.441;28.441;28.441;22.200;22.200;22.200;30.999;30.999;30.999
00:00:01.200;118.250;123.490;120.810;28.441;28.441;28.441;22.200;22.770;22.770;30.999;30.999;30.999
00:00:01.210;116.050;119.450;120.890;28.441;28.441;28.441;22.770;22.770;22.770;30.999;30.999;30.999
00:00:01.220;121.970;129.010;125.370;28.441;28.441;28.441;22.770;22.770;22.770;30.999;30.999;30.999
00:00:01.230;113.090;122.490;118.770;28.441;28.441;28.441;22.770;22.770;22.770;30.999;30.999;30.999
00:00:01.240;120.050;122.770;121.210;28.441;28.441;28.441;22.770;22.770;22.770;30.999;30.999;30.999
00:00:01.250;116.970;121.010;122.690;28.441;28.441;28.441;22.770;24.023;24.023;30.999;30.999;30.999
00:00:01.260;123.770;129.130;122.570;28.441;28.441;28.441;24.023;24.023;24.023;30.999;30.999;30.999
00:00:01.270;109.530;118.850;118.370;28.441;28.441;28.441;24.023;24.023;24.023;30.999;30.999;30.999
00:00:01.280;120.450;125.170;122.970;28.441;28.441;28.441;24.023;24.023;24.023;30.999;30.999;30.999
00:00:01.290;117.050;121.690;119.850;28.441;28.441;28.441;24.023;24.023;24.023;30.999;30.999;30.999
00:00:01.300;123.090;129.330;121.490;28.441;28.441;28.441;22.751;24.023;22.751;30.999;30.999;30.999
00:00:01.310;109.450;117.650;117.450;28.441;28.441;28.441;22.751;22.751;22.751;30.999;30.999;30.999
00:00:01.320;119.370;122.570;119.650;28.441;28.441;28.441;22.751;22.751;22.751;30.999;30.999;30.999
00:00:01.330;117.650;122.970;124.370;28.441;28.441;28.441;22.751;22.751;22.751;30.999;30.999;30.999
00:00:01.340;125.770;129.890;124.970;28.441;28.441;28.441;22.751;22.751;22.751;30.999;30.999;30.999
00:00:01.350;110.770;121.810;118.770;28.441;28.441;28.441;21.983;22.751;21.983;30.999;30.999;30.999
00:00:01.360;118.770;123.490;120.050;28.441;28.441;28.441;21.983;21.983;21.983;30.999;30.999;30.999
00:00:01.370;115.850;119.650;121.090;28.441;28.441;28.441;21.983;21.983;21.983;30.999;30.999;30.999
00:00:01.380;122.690;130.690;125.290;28.441;28.441;28.441;21.983;21.983;21.983;30.999;30.999;30.999
00:00:01.390;113.170;121.810;118.370;28.441;28.441;28.441;21.983;21.983;21.983;30.999;30.999;30.999
00:00:01.400;119.570;122.970;121.010;28.441;28.441;28.441;23.063;23.063;23.063;30.999;30.999;30.999
00:00:01.410;116.770;121.010;122.370;28.441;28.441;28.441;23.063;23.063;23.063;30.999;30.999;30.999
00:00:01.420;123.770;129.010;121.410;28.441;28.441;28.441;23.063;23.063;23.063;30.999;30.999;30.999
00:00:01.430;109.530;118.250;120.170;28.441;28.441;28.441;23.063;23.063;23.063;30.999;30.999;30.999
00:00:01.440;122.290;125.690;121.810;28.441;28.441;28.441;23.063;23.063;23.063;30.999;30.999;30.999
00:00:01.450;116.370;120.650;122.290;28.441;28.441;28.441;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.460;124.090;129.210;122.690;28.441;28.441;28.441;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.470;109.530;118.970;116.850;28.441;28.441;28.441;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.480;118.250;121.210;119.770;28.441;28.441;28.441;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.490;118.170;123.370;125.090;28.441;28.441;28.441;23.861;23.861;23.861;30.999;30.999;30.999
00:00:01.500;125.690;129.690;122.970;28.441;28.441;28.441;22.871;22.871;22.871;30.999;30.999;30.999
00:00:01.510;111.090;119.650;117.770;28.441;28.441;28.441;22.871;22.871;22.871;30.999;30.999;30.999
00:00:01.520;119.370;122.570;120.370;28.441;28.441;28.441;22.871;22.871;22.871;30.999;30.999;30.999
00:00:01.530;115.570;119.970;121.690;28.441;28.441;28.441;22.871;22.871;22.871;30.999;30.999;30.999
00:00:01.540;121.690;130.410;123.090;28.441;28.441;28.441;22.871;22.871;22.871;30.999;30.999;30.999
